Country,Capital,Currency Code,Currency Symbol,Currency Name
Zimbabwe,Harare,ZWL,Zimbabwean dollar,$
Kiribati,South Tarawa,AUD,Zimbabwean dollar,$
Ghana,Accra,GHS,Zimbabwean dollar,₵
North Korea,Pyongyang,KPW,Zimbabwean dollar,₩
Spain,Madrid,EUR,Zimbabwean dollar,€
Jordan,Amman,JOD,Zimbabwean dollar,د.ا
San Marino,City of San Marino,EUR,Zimbabwean dollar,€
Ivory Coast,Yamoussoukro,XOF,Zimbabwean dollar,Fr
Brazil,Brasília,BRL,Zimbabwean dollar,R$
Colombia,Bogotá,COP,Zimbabwean dollar,$
Heard Island and McDonald Islands,,,Zimbabwean dollar,
Dominica,Roseau,XCD,Zimbabwean dollar,$
Djibouti,Djibouti,DJF,Zimbabwean dollar,Fr
Slovenia,Ljubljana,EUR,Zimbabwean dollar,€
Anguilla,The Valley,XCD,Zimbabwean dollar,$
North Macedonia,Skopje,MKD,Zimbabwean dollar,den
Solomon Islands,Honiara,SBD,Zimbabwean dollar,$
Chad,N'Djamena,XAF,Zimbabwean dollar,Fr
Burundi,Gitega,BIF,Zimbabwean dollar,Fr
Italy,Rome,EUR,Zimbabwean dollar,€
Ethiopia,Addis Ababa,ETB,Zimbabwean dollar,Br
Vietnam,Hanoi,VND,Zimbabwean dollar,₫
Togo,Lomé,XOF,Zimbabwean dollar,Fr
Martinique,Fort-de-France,EUR,Zimbabwean dollar,€
Poland,Warsaw,PLN,Zimbabwean dollar,zł
Portugal,Lisbon,EUR,Zimbabwean dollar,€
Christmas Island,Flying Fish Cove,AUD,Zimbabwean dollar,$
Israel,Jerusalem,ILS,Zimbabwean dollar,₪
Argentina,Buenos Aires,ARS,Zimbabwean dollar,$
Afghanistan,Kabul,AFN,Zimbabwean dollar,؋
Papua New Guinea,Port Moresby,PGK,Zimbabwean dollar,K
New Zealand,Wellington,NZD,Zimbabwean dollar,$
El Salvador,San Salvador,USD,Zimbabwean dollar,$
Czechia,Prague,CZK,Zimbabwean dollar,Kč
Cameroon,Yaoundé,XAF,Zimbabwean dollar,Fr
Yemen,Sana'a,YER,Zimbabwean dollar,﷼
Panama,Panama City,PAB,Zimbabwean dollar,B/.
Timor-Leste,Dili,USD,Zimbabwean dollar,$
Cuba,Havana,CUC,Zimbabwean dollar,$
Russia,Moscow,RUB,Zimbabwean dollar,₽
Antigua and Barbuda,Saint John's,XCD,Zimbabwean dollar,$
Saint Barthélemy,Gustavia,EUR,Zimbabwean dollar,€
Bolivia,Sucre,BOB,Zimbabwean dollar,Bs.
Australia,Canberra,AUD,Zimbabwean dollar,$
United States Minor Outlying Islands,Washington DC,USD,Zimbabwean dollar,$
Fiji,Suva,FJD,Zimbabwean dollar,$
Myanmar,Naypyidaw,MMK,Zimbabwean dollar,Ks
São Tomé and Príncipe,São Tomé,STN,Zimbabwean dollar,Db
Madagascar,Antananarivo,MGA,Zimbabwean dollar,Ar
Tuvalu,Funafuti,AUD,Zimbabwean dollar,$
Guernsey,St. Peter Port,GBP,Zimbabwean dollar,£
Cocos (Keeling) Islands,West Island,AUD,Zimbabwean dollar,$
Hungary,Budapest,HUF,Zimbabwean dollar,Ft
Egypt,Cairo,EGP,Zimbabwean dollar,£
Kyrgyzstan,Bishkek,KGS,Zimbabwean dollar,с
Indonesia,Jakarta,IDR,Zimbabwean dollar,Rp
Tunisia,Tunis,TND,Zimbabwean dollar,د.ت
American Samoa,Pago Pago,USD,Zimbabwean dollar,$
Oman,Muscat,OMR,Zimbabwean dollar,ر.ع.
French Polynesia,Papeetē,XPF,Zimbabwean dollar,₣
United States,"Washington, D.C.",USD,Zimbabwean dollar,$
Falkland Islands,Stanley,FKP,Zimbabwean dollar,£
Saint Martin,Marigot,EUR,Zimbabwean dollar,€
Suriname,Paramaribo,SRD,Zimbabwean dollar,$
Azerbaijan,Baku,AZN,Zimbabwean dollar,₼
Netherlands,Amsterdam,EUR,Zimbabwean dollar,€
Palestine,Ramallah,EGP,Zimbabwean dollar,E£
Slovakia,Bratislava,EUR,Zimbabwean dollar,€
Uganda,Kampala,UGX,Zimbabwean dollar,Sh
Cayman Islands,George Town,KYD,Zimbabwean dollar,$
Saint Lucia,Castries,XCD,Zimbabwean dollar,$
Libya,Tripoli,LYD,Zimbabwean dollar,ل.د
Northern Mariana Islands,Saipan,USD,Zimbabwean dollar,$
Armenia,Yerevan,AMD,Zimbabwean dollar,֏
Comoros,Moroni,KMF,Zimbabwean dollar,Fr
Guyana,Georgetown,GYD,Zimbabwean dollar,$
United Arab Emirates,Abu Dhabi,AED,Zimbabwean dollar,د.إ
Turkey,Ankara,TRY,Zimbabwean dollar,₺
Samoa,Apia,WST,Zimbabwean dollar,T
Germany,Berlin,EUR,Zimbabwean dollar,€
Gambia,Banjul,GMD,Zimbabwean dollar,D
Mongolia,Ulan Bator,MNT,Zimbabwean dollar,₮
Serbia,Belgrade,RSD,Zimbabwean dollar,дин.
China,Beijing,CNY,Zimbabwean dollar,¥
Montenegro,Podgorica,EUR,Zimbabwean dollar,€
Guam,Hagåtña,USD,Zimbabwean dollar,$
Cambodia,Phnom Penh,KHR,Zimbabwean dollar,៛
Liechtenstein,Vaduz,CHF,Zimbabwean dollar,Fr
Senegal,Dakar,XOF,Zimbabwean dollar,Fr
United Kingdom,London,GBP,Zimbabwean dollar,£
Caribbean Netherlands,Kralendijk,USD,Zimbabwean dollar,$
French Guiana,Cayenne,EUR,Zimbabwean dollar,€
Burkina Faso,Ouagadougou,XOF,Zimbabwean dollar,Fr
Qatar,Doha,QAR,Zimbabwean dollar,ر.ق
Ukraine,Kyiv,UAH,Zimbabwean dollar,₴
Mexico,Mexico City,MXN,Zimbabwean dollar,$
Isle of Man,Douglas,GBP,Zimbabwean dollar,£
Antarctica,,,Zimbabwean dollar,
South Georgia,King Edward Point,GBP,Zimbabwean dollar,£
Western Sahara,El Aaiún,DZD,Zimbabwean dollar,دج
Turks and Caicos Islands,Cockburn Town,USD,Zimbabwean dollar,$
Albania,Tirana,ALL,Zimbabwean dollar,L
Cyprus,Nicosia,EUR,Zimbabwean dollar,€
Guatemala,Guatemala City,GTQ,Zimbabwean dollar,Q
Nauru,Yaren,AUD,Zimbabwean dollar,$
"Saint Helena, Ascension and Tristan da Cunha",Jamestown,GBP,Zimbabwean dollar,£
Latvia,Riga,EUR,Zimbabwean dollar,€
Cook Islands,Avarua,CKD,Zimbabwean dollar,$
Malta,Valletta,EUR,Zimbabwean dollar,€
Pitcairn Islands,Adamstown,NZD,Zimbabwean dollar,$
South Korea,Seoul,KRW,Zimbabwean dollar,₩
New Caledonia,Nouméa,XPF,Zimbabwean dollar,₣
Mozambique,Maputo,MZN,Zimbabwean dollar,MT
Luxembourg,Luxembourg,EUR,Zimbabwean dollar,€
Ireland,Dublin,EUR,Zimbabwean dollar,€
Nigeria,Abuja,NGN,Zimbabwean dollar,₦
Bahamas,Nassau,BSD,Zimbabwean dollar,$
Marshall Islands,Majuro,USD,Zimbabwean dollar,$
Greece,Athens,EUR,Zimbabwean dollar,€
Maldives,Malé,MVR,Zimbabwean dollar,.ރ
Niue,Alofi,NZD,Zimbabwean dollar,$
Syria,Damascus,SYP,Zimbabwean dollar,£
Ecuador,Quito,USD,Zimbabwean dollar,$
Turkmenistan,Ashgabat,TMT,Zimbabwean dollar,m
Wallis and Futuna,Mata-Utu,XPF,Zimbabwean dollar,₣
Brunei,Bandar Seri Begawan,BND,Zimbabwean dollar,$
Uzbekistan,Tashkent,UZS,Zimbabwean dollar,so'm
Bahrain,Manama,BHD,Zimbabwean dollar,.د.ب
British Virgin Islands,Road Town,USD,Zimbabwean dollar,$
Moldova,Chișinău,MDL,Zimbabwean dollar,L
Mauritius,Port Louis,MUR,Zimbabwean dollar,₨
Tonga,Nuku'alofa,TOP,Zimbabwean dollar,T$
Seychelles,Victoria,SCR,Zimbabwean dollar,₨
Angola,Luanda,AOA,Zimbabwean dollar,Kz
Estonia,Tallinn,EUR,Zimbabwean dollar,€
Bermuda,Hamilton,BMD,Zimbabwean dollar,$
Philippines,Manila,PHP,Zimbabwean dollar,₱
Vatican City,Vatican City,EUR,Zimbabwean dollar,€
Venezuela,Caracas,VES,Zimbabwean dollar,Bs.S.
Barbados,Bridgetown,BBD,Zimbabwean dollar,$
India,New Delhi,INR,Zimbabwean dollar,₹
Mali,Bamako,XOF,Zimbabwean dollar,Fr
Norfolk Island,Kingston,AUD,Zimbabwean dollar,$
Belarus,Minsk,BYN,Zimbabwean dollar,Br
Saint Kitts and Nevis,Basseterre,XCD,Zimbabwean dollar,$
Guadeloupe,Basse-Terre,EUR,Zimbabwean dollar,€
Lithuania,Vilnius,EUR,Zimbabwean dollar,€
Montserrat,Plymouth,XCD,Zimbabwean dollar,$
Niger,Niamey,XOF,Zimbabwean dollar,Fr
Equatorial Guinea,Ciudad de la Paz,XAF,Zimbabwean dollar,Fr
Iraq,Baghdad,IQD,Zimbabwean dollar,ع.د
Mauritania,Nouakchott,MRU,Zimbabwean dollar,UM
Taiwan,Taipei,TWD,Zimbabwean dollar,$
Georgia,Tbilisi,GEL,Zimbabwean dollar,₾
Puerto Rico,San Juan,USD,Zimbabwean dollar,$
Paraguay,Asunción,PYG,Zimbabwean dollar,₲
Sierra Leone,Freetown,SLE,Zimbabwean dollar,Le
Botswana,Gaborone,BWP,Zimbabwean dollar,P
Mayotte,Mamoudzou,EUR,Zimbabwean dollar,€
Finland,Helsinki,EUR,Zimbabwean dollar,€
Jersey,Saint Helier,GBP,Zimbabwean dollar,£
Faroe Islands,Tórshavn,DKK,Zimbabwean dollar,kr
Sweden,Stockholm,SEK,Zimbabwean dollar,kr
Sri Lanka,Sri Jayawardenepura Kotte,LKR,Zimbabwean dollar,Rs  රු
Thailand,Bangkok,THB,Zimbabwean dollar,฿
Greenland,Nuuk,DKK,Zimbabwean dollar,kr.
Bulgaria,Sofia,BGN,Zimbabwean dollar,лв
Kenya,Nairobi,KES,Zimbabwean dollar,Sh
Hong Kong,City of Victoria,HKD,Zimbabwean dollar,$
Romania,Bucharest,RON,Zimbabwean dollar,lei
Malawi,Lilongwe,MWK,Zimbabwean dollar,MK
Republic of the Congo,Brazzaville,XAF,Zimbabwean dollar,Fr
Honduras,Tegucigalpa,HNL,Zimbabwean dollar,L
Aruba,Oranjestad,AWG,Zimbabwean dollar,ƒ
Monaco,Monaco,EUR,Zimbabwean dollar,€
Bouvet Island,,,Zimbabwean dollar,
Zambia,Lusaka,ZMW,Zimbabwean dollar,ZK
Andorra,Andorra la Vella,EUR,Zimbabwean dollar,€
Liberia,Monrovia,LRD,Zimbabwean dollar,$
Tanzania,Dodoma,TZS,Zimbabwean dollar,Sh
Saint Pierre and Miquelon,Saint-Pierre,EUR,Zimbabwean dollar,€
Iran,Tehran,IRR,Zimbabwean dollar,﷼
Iceland,Reykjavik,ISK,Zimbabwean dollar,kr
Guinea,Conakry,GNF,Zimbabwean dollar,Fr
Svalbard and Jan Mayen,Longyearbyen,NOK,Zimbabwean dollar,kr
Kuwait,Kuwait City,KWD,Zimbabwean dollar,د.ك
Morocco,Rabat,MAD,Zimbabwean dollar,د.م.
Namibia,Windhoek,NAD,Zimbabwean dollar,$
Tajikistan,Dushanbe,TJS,Zimbabwean dollar,ЅМ
Vanuatu,Port Vila,VUV,Zimbabwean dollar,Vt
Jamaica,Kingston,JMD,Zimbabwean dollar,$
Palau,Ngerulmud,USD,Zimbabwean dollar,$
Uruguay,Montevideo,UYU,Zimbabwean dollar,$
Bhutan,Thimphu,BTN,Zimbabwean dollar,Nu.
DR Congo,Kinshasa,CDF,Zimbabwean dollar,FC
Kazakhstan,Astana,KZT,Zimbabwean dollar,₸
Eritrea,Asmara,ERN,Zimbabwean dollar,Nfk
Gibraltar,Gibraltar,GIP,Zimbabwean dollar,£
Gabon,Libreville,XAF,Zimbabwean dollar,Fr
Peru,Lima,PEN,Zimbabwean dollar,S/ 
Denmark,Copenhagen,DKK,Zimbabwean dollar,kr
Croatia,Zagreb,EUR,Zimbabwean dollar,€
Curaçao,Willemstad,ANG,Zimbabwean dollar,ƒ
British Indian Ocean Territory,Diego Garcia,USD,Zimbabwean dollar,$
Norway,Oslo,NOK,Zimbabwean dollar,kr
Lesotho,Maseru,LSL,Zimbabwean dollar,L
Austria,Vienna,EUR,Zimbabwean dollar,€
Switzerland,Bern,CHF,Zimbabwean dollar,Fr.
Belize,Belmopan,BZD,Zimbabwean dollar,$
Belgium,Brussels,EUR,Zimbabwean dollar,€
Nicaragua,Managua,NIO,Zimbabwean dollar,C$
United States Virgin Islands,Charlotte Amalie,USD,Zimbabwean dollar,$
Singapore,Singapore,SGD,Zimbabwean dollar,$
Dominican Republic,Santo Domingo,DOP,Zimbabwean dollar,$
Kosovo,Pristina,EUR,Zimbabwean dollar,€
Laos,Vientiane,LAK,Zimbabwean dollar,₭
Chile,Santiago,CLP,Zimbabwean dollar,$
Costa Rica,San José,CRC,Zimbabwean dollar,₡
Rwanda,Kigali,RWF,Zimbabwean dollar,Fr
Trinidad and Tobago,Port of Spain,TTD,Zimbabwean dollar,$
Malaysia,Kuala Lumpur,MYR,Zimbabwean dollar,RM
South Africa,Pretoria,ZAR,Zimbabwean dollar,R
Saudi Arabia,Riyadh,SAR,Zimbabwean dollar,ر.س
Haiti,Port-au-Prince,HTG,Zimbabwean dollar,G
French Southern and Antarctic Lands,Port-aux-Français,EUR,Zimbabwean dollar,€
Tokelau,Fakaofo,NZD,Zimbabwean dollar,$
Somalia,Mogadishu,SOS,Zimbabwean dollar,Sh
Japan,Tokyo,JPY,Zimbabwean dollar,¥
Macau,,MOP,Zimbabwean dollar,P
Sudan,Khartoum,SDG,Zimbabwean dollar,ج.س
Algeria,Algiers,DZD,Zimbabwean dollar,د.ج
Eswatini,Mbabane,SZL,Zimbabwean dollar,L
France,Paris,EUR,Zimbabwean dollar,€
Sint Maarten,Philipsburg,ANG,Zimbabwean dollar,ƒ
Bangladesh,Dhaka,BDT,Zimbabwean dollar,৳
Central African Republic,Bangui,XAF,Zimbabwean dollar,Fr
Canada,Ottawa,CAD,Zimbabwean dollar,$
Réunion,Saint-Denis,EUR,Zimbabwean dollar,€
Saint Vincent and the Grenadines,Kingstown,XCD,Zimbabwean dollar,$
Micronesia,Palikir,USD,Zimbabwean dollar,$
Cape Verde,Praia,CVE,Zimbabwean dollar,Esc
Grenada,St. George's,XCD,Zimbabwean dollar,$
Pakistan,Islamabad,PKR,Zimbabwean dollar,₨
Nepal,Kathmandu,NPR,Zimbabwean dollar,₨
Bosnia and Herzegovina,Sarajevo,BAM,Zimbabwean dollar,KM
South Sudan,Juba,SSP,Zimbabwean dollar,£
Guinea-Bissau,Bissau,XOF,Zimbabwean dollar,Fr
Benin,Porto-Novo,XOF,Zimbabwean dollar,Fr
Lebanon,Beirut,LBP,Zimbabwean dollar,ل.ل
Åland Islands,Mariehamn,EUR,Zimbabwean dollar,€
